neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
,San Vito Lo Capo,Entire home/apt,79,5,15,2023-10-10,0.23,6,179,3
,Castelvetrano,Entire home/apt,190,7,23,2023-07-10,0.33,15,197,1
,Catania,Entire home/apt,100,2,13,2019-09-23,0.20,2,32,0
,Cefal,Entire home/apt,76,1,124,2023-12-22,1.17,3,0,23
,Siracusa,Entire home/apt,295,1,117,2023-11-26,1.37,9,5,18
,Graniti,Private room,55,1,1,2023-05-18,0.13,1,121,1
,Agrigento,Private room,42,1,2,2022-08-08,0.11,5,364,0
,Taormina,Entire home/apt,102,1,30,2023-10-28,0.58,217,203,16
,Terrasini,Entire home/apt,100,1,0,,,2,90,0
,Castellammare del Golfo,Entire home/apt,,7,0,,,1,0,0
,Scicli,Entire home/apt,88,6,0,,,1,91,0
,San Vito Lo Capo,Entire home/apt,85,7,0,,,10,365,0
,Palermo,Entire home/apt,70,2,6,2021-09-22,0.05,1,364,0
,Santa Croce Camerina,Entire home/apt,69,4,0,,,10,165,0
,Aci Castello,Entire home/apt,71,2,0,,,1,324,0
,Bagheria,Entire home/apt,74,4,21,2023-11-06,0.34,89,303,9
,Siracusa,Private room,100,1,0,,,7,364,0
,Catania,Entire home/apt,78,2,67,2023-09-19,1.10,3,304,9
,Modica,Entire home/apt,77,3,4,2021-09-03,0.06,31,300,0
