city,house_type,adjusted_occupancy_rate,adj_airbnb_yroi,rent_yroi,roi_ratio,house_price,annual_airbnb_rent,adj_airbnb_new,annual_rent,service_cost,service_cost_new,local_annual_taxes,price_per_night,buy_eur_m2,rent_eur_m2,house_size,number_airbnb_house,airbnb_yroi_original
Acquaviva Platani,1BR_1BT,0.26857209519365377,0.49869430036046064,0.11003496503496502,4.53214394353644,18447,16060,9802.881474568363,2306.5199999999995,4866.18,326.7627158189454,276.705,100,429,4.47,43,1,0.5918097793679189
Modica,6BR_8BT,0.3198086794213719,0.7988942475409614,0.05420245398773005,14.73907893029731,198534,229979.2,167157.60055996268,13739.039999999997,69683.6976,5571.9200186654225,2978.0099999999998,1432,978,5.64,203,1,0.7923957226470024
Tusa,1BR_2BT,0.315142323845077,0.1347746721399129,0.07280172413793103,1.851256597777371,48256,10439,7476.751633224452,4236.96,3163.017,249.22505444081506,723.8399999999999,65,928,6.79,52,2,0.13577882543103448
Ficarra,5BR_3BT,0.2714652356509566,0.5612755619057933,0.1866521739130435,3.007066835274457,65320,63115.8,38940.33072795147,13171.920000000002,19124.0874,1298.011024265049,979.8,393,460,7.73,142,1,0.6584799846907532
Gela,3BR_1BT,0.29703686420905273,0.15863174108328376,0.05807901907356947,2.7313088894001947,67528,17967.125,12129.314701936537,4934.879999999999,5444.038875,404.31049006455123,1012.92,111.875,734,4.47,92,8,0.17045027433064802
Buseto Palizzolo,3BR_2BT,0.27557162855809614,0.30684895651712696,0.20833333333333337,1.4728749912822092,50904,27061.1,16948.344085394307,11368.560000000001,8199.513299999999,564.9448028464769,763.56,168.5,504,9.38,101,4,0.35553250628634286
Ferla,2BR_1BT,0.2687587494167056,0.22383353422528784,0.13395591647331787,1.6709492205958094,32756,13249.5,8092.997841810547,4879.2,4014.5985,269.76659472701823,491.34,82.5,431,5.35,76,2,0.26693007387959455
Partanna,4BR_3BT,0.2672655156322912,0.08418741732850711,0.14374698795180724,0.5856638704438932,52290,8833,5365.3552263182455,8300.880000000001,2676.399,178.84517421060818,784.35,55,415,5.49,126,1,0.10273954867087398
Lascari,1BR_2.5BT,0.34836677554829676,0.4085774909688015,0.056214953271028045,7.268128268272944,72546,40150,31788.46826878208,5166.360000000001,12165.449999999999,1059.6156089594026,1088.19,250,1284,7.62,56.5,1,0.370749041987153
Oliveri,2BR_2BT,0.34584694353709755,0.08207743031928341,0.10232696897374702,0.8021094648111895,106845,13651,10729.90142323845,12535.8,4136.253,357.663380774615,1602.675,85,1257,12.29,85,3,0.07405186953062848
Paternò,1BR_1BT,0.2948903406439571,0.2052380030059946,0.05672995780590717,3.617806375040589,30573,10393.114285714284,6965.520481967868,2193,3149.113628571428,232.1840160655956,458.59499999999997,64.71428571428571,711,4.25,43,7,0.22194111330725988
Sciacca,2BR_3.5BT,0.322515165655623,0.09972393847012602,0.043748758689175764,2.279468982849096,99189.5,16060,11771.80354643024,5827.259999999999,4866.18,392.39345154767466,1487.8425,100,1007,4.93,98.5,1,0.0978528725318708
Partinico,3BR_2.5BT,0.2953569762015866,0.3436944911631172,0.05254189944134079,6.541341192790852,75538,41756,28029.377041530566,5101.9800000000005,12652.068,934.3125680510188,1133.07,260,716,4.03,105.5,2,0.3702886229447431
Calascibetta,2BR_2BT,0.2703453103126458,0.11024532167626733,0.12401785714285715,0.8889471582247617,38080,8030,4933.801913205786,5293.8,2433.09,164.4600637735262,571.1999999999999,50,448,5.19,85,1,0.13197767857142859
Pachino,5BR_2BT,0.32391507232851147,0.46173966472410616,0.0673091976516634,6.859978737433297,135926,91060.2,67035.84379374709,11187.96,27591.240599999997,2234.5281264582363,2038.8899999999999,567,1022,7.01,133,1,0.4519375939849624
Raffadali,2BR_2BT,0.2807979468035464,0.05784917320871419,0.07585714285714286,0.762606803128059,47600,5621,3587.1937704153056,4324.8,1703.163,119.57312568051019,714,35,560,4.24,85,1,0.0673075
Gratteri,3BR_2BT,0.29031731217918805,0.14994700960545532,0.13871601208459214,1.0809639590418318,66862,17291.266666666666,11408.986506455125,10277.76,5239.2537999999995,380.2995502151708,1002.93,107.66666666666667,662,8.48,101,3,0.16525205448037253
Cinisi,2BR_1BT,0.31794213719085396,0.10145674210876653,0.05151356993736951,1.9695148721418105,72808,12138.683333333332,8771.36118564318,4842.719999999999,3678.02105,292.378706188106,1092.12,75.58333333333333,958,5.31,76,36,0.10120511871406072
Acquedolci,1BR_1BT,0.315142323845077,0.2042051015505082,0.07189655172413792,2.8402628033404023,39904,12633.866666666669,9048.786592004979,3467.5199999999995,3828.0616000000005,301.6262197334993,598.56,78.66666666666667,928,6.72,43,12,0.20567474605720398
Calatafimi-Segesta,2BR_2BT,0.2872375174988334,0.09589119590973617,0.0985135135135135,0.973381138178392,53465,9395.1,6133.23909239384,6069,2846.7153,204.44130307979466,801.975,58.5,629,5.95,85,2,0.10747984101748807
Nicolosi,3BR_1.5BT,0.3415538964069062,0.1242166450935677,0.06813790255986789,1.823018326465618,116861.5,21681,16830.068245450304,9715.62,6569.343,561.0022748483434,1752.9225,135,1211,8.39,96.5,2,0.1143125366352477
Avola,4BR_2BT,0.32895473635090994,0.14864621910280312,0.06384758364312268,2.328141655816829,125892,28506.5,21312.154981334577,9926.28,8637.4695,710.4051660444859,1888.3799999999999,177.5,1076,7.07,117,16,0.14282599768055157
Avola,4BR_1.5BT,0.32895473635090994,0.1336184254612499,0.06384758364312268,2.092771845652182,121050,24893,18610.61420905273,9544.5,7542.579,620.3538069684242,1815.75,155,1076,7.07,112.5,2,0.12833268071045023
Alia,2BR_3BT,0.2548530097993467,0.6634415041311014,0.2969148936170213,2.2344500676575967,26508,32120,18604.26971535231,8268.24,9732.36,620.142323845077,397.62,200,282,7.33,94,1,0.8295616417685228
Siracusa,4BR_2BT,0.34435370975268315,0.17623451759082587,0.07221998388396453,2.4402458725825937,145197,36702.45333333334,28724.14991445015,12664.079999999998,11120.84336,957.471663815005,2177.955,228.53333333333333,1241,9.02,117,45,0.1611855270655271
Valderice,5BR_2BT,0.322515165655623,0.14940673580872063,0.053401191658391266,2.797816512494313,133931,31076.1,22778.43986234251,9161.04,9416.058299999999,759.2813287447503,2008.965,193.5,1007,5.74,133,2,0.14672537873979885
Bagheria,5BR_3BT,0.31224918338777413,0.3136803403993081,0.07222408026755851,4.343154516295121,127374,61028,43308.96173588427,11110.079999999998,18491.484,1443.632057862809,1910.61,380,897,6.52,142,1,0.31894975426696187
Santa Croce Camerina,3BR_3.5BT,0.3430471301913206,0.15730716795797273,0.09952322738386309,1.5806075837074276,140491.5,32120,25042.440503966405,16089.54,9732.36,834.7480167988801,2107.3725,200,1227,11.71,114.5,1,0.14435227398098815
Monreale,2BR_1.5BT,0.3255949603359776,0.06801822369682974,0.05769230769230768,1.1789825440783823,83720,9716.3,7189.950711619226,6085.799999999999,2944.0388999999996,239.66502372064087,1255.8,60.5,1040,6.3,80.5,2,0.06589179526994744
Alcamo,12BR_14BT,0.31392907139524034,0.4596149714881623,0.09713114754098362,4.7319009722831895,322995,222270.4,158584.40970601962,36217.8,67347.93119999999,5286.146990200654,4844.925,1384,915,8.55,353,1,0.46464355113856254
Modica,7BR_6BT,0.3198086794213719,0.32654026199044944,0.054202453987730055,6.024455314594597,196578,95557,69454.44995333644,13603.679999999998,28953.771,2315.1483317778816,2948.67,595,978,5.64,201,2,0.3238132395283297
Cammarata,2BR_1BT,0.2917172188520765,0.0796883395397632,0.0645864106351551,1.2338251770936461,51452,7601.733333333334,5039.901151034375,4094.88,2303.3252,167.99670503447916,771.78,47.333333333333336,677,4.49,76,3,0.08797769053357175
Lampedusa e Linosa,4BR_2BT,0.5450069995333644,0.035083938684653086,0.018441462695370097,1.9024488059432096,396747,16595.333333333332,20555.84733240006,13267.8,5028.3859999999995,685.1949110800019,5951.205,103.33333333333333,3391,9.45,117,3,0.014154467036507733
Pedara,2BR_2BT,0.3428604759682688,0.3335405174669028,0.05112244897959184,6.524345451448397,104125,48180,37543.22211852543,6885,14598.539999999999,1251.440737284181,1561.875,300,1225,6.75,85,1,0.30751102040816325
Giardini-Naxos,3BR_3.5BT,0.38065795613625764,0.43333172808467957,0.056190184049079744,7.711875933814039,186635,100053.8,86559.71593560431,13286.579999999998,30316.3014,2885.3238645201436,2799.525,623,1630,9.67,114.5,1,0.35865713076325456
Siracusa,2BR_1.5BT,0.34435370975268315,0.1031999036452415,0.07221998388396454,1.4289660298325768,99900.5,15608.3125,12215.409800804946,8713.32,4729.3186875,407.1803266934982,1498.5075,97.1875,1241,9.02,80.5,80,0.09389829192546585
Porto Empedocle,3BR_3BT,0.31728884741017266,0.2047407841930762,0.03850157728706625,5.317724587399029,104610,32976.53333333333,23779.741483901074,5596.8,9991.8896,792.6580494633691,1569.1499999999999,205.33333333333334,951,4.24,110,6,0.2047174623203645
Campobello di Mazara,3BR_1.5BT,0.32372841810545966,0.1590661031010002,0.16323529411764706,0.9744590099881093,98430,24090,17724.130891273915,17543.7,7299.2699999999995,590.8043630424638,1476.45,150,1020,15.15,96.5,1,0.15558549222797927
Letojanni,7BR_6BT,0.4118292113859076,0.5577417045053803,0.05141547861507128,10.847739232011953,394764,249893.6,233894.28231451235,26218.44,75717.7608,7796.476077150412,5921.46,1556,1964,10.87,201,1,0.4262151037075316
Santa Teresa di Riva,3BR_2BT,0.3412739150723285,0.21297980305400135,0.15248344370860928,1.3967405107993138,122008,37098.6,28774.510149323378,20434.32,11240.8758,959.1503383107793,1830.12,231,1208,16.86,101,4,0.19693466166153037
Siracusa,2BR_2BT,0.34435370975268315,0.1785004149481679,0.07221998388396454,2.4716208083757474,105485,26980.113675213677,21115.2323491112,9200.4,8174.974443589744,703.8410783037067,1582.2749999999999,167.9957264957265,1241,9.02,85,234,0.16327311211664153
Scicli,3BR_1.5BT,0.35060662622491834,0.499901400426001,0.09802752293577982,5.09960249381695,126222,84375.225,67232.98403231452,14266.560000000001,25565.693175,2241.099467743817,1893.33,525.375,1308,12.32,96.5,8,0.4509214069258925
Rosolini,6BR_6BT,0.29946336910872606,0.08269477692320117,0.13042105263157897,0.6340600329059007,140600,20878,14209.536864209053,20446.2,6326.034,473.6512288069684,2109,130,760,9.21,185,1,0.08849904694167852
Villafranca Tirrena,1BR_1BT,0.31439570695286984,0.21026085060700103,0.19030434782608696,1.1048662471923747,39560,12901.533333333333,9218.606120703063,8121.84,3909.1645999999996,307.2868706901021,593.4,80.33333333333333,920,15.74,43,6,0.21230962419952815
Custonaci,4BR_5BT,0.3520065328978068,0.1284236186625379,0.09094104308390023,1.4121634666545122,190512,35332,28266.124591693886,20183.04,10705.596,942.2041530564628,2857.68,220,1323,11.68,144,1,0.11426431930797011
Ragusa,3BR_4.5BT,0.3169155389640691,0.21015786218133692,0.08535902851108766,2.46204608753295,116954.5,37821.3,27241.26744050397,11737.44,11459.8539,908.0422480167989,1754.3174999999999,235.5,947,7.92,123.5,2,0.21039916035723294
Vittoria,2BR_1BT,0.2985300979934671,0.2042740405932002,0.07412,2.755990833691314,57000,19056.796000000002,12929.607221185253,5079.84,5774.209188000001,430.98690737284176,855,118.66,750,5.57,76,50,0.21802783880701757
Misilmeri,6BR_4BT,0.31887540830611294,0.2961045264890327,0.04735537190082644,6.252818098634024,161656,71788.2,52026.11724218386,10080.119999999999,21751.8246,1734.2039080727952,2424.8399999999997,447,968,5.03,167,1,0.2945237751769189
Gangi,10BR_10BT,0.2571861875874942,0.7109923641082493,0.2085830618892508,3.408677376141681,87495,112420,65711.07092860476,19562.399999999998,34063.26,2190.3690309534923,1312.425,700,307,5.72,285,1,0.8805567746728383
Paternò,5BR_5.5BT,0.2948903406439571,0.5009678544896441,0.05672995780590717,8.830746114841626,116959.5,93148,62428.285114325714,8389.5,28223.844,2080.9428371441904,1754.3925,580,711,4.25,164.5,1,0.540099466054489
Scicli,6BR_5.5BT,0.35060662622491834,0.21554592676080073,0.09802752293577983,2.1988306988233295,236094,70664,56307.42417172188,26685.120000000003,21411.192,1876.9141390573961,3541.41,440,1308,12.32,180.5,1,0.19361524646962652
Capo d'Orlando,1BR_1BT,0.3856042930471302,0.16449956325724593,0.03505347593582887,4.6928174415110595,72369,15333.808695652175,13438.141958652031,3622.3199999999997,4646.144034782609,447.93806528840105,1085.5349999999999,95.47826086956522,1683,7.02,43,92,0.13268291203235594
Ragusa,3BR_1BT,0.3169155389640691,0.1354832584964496,0.08535902851108765,1.5872165002305656,87124,18830.35,13562.796634391043,8743.68,5705.596049999999,452.0932211463681,1306.86,117.25,947,7.92,92,32,0.1356445290620265
Campofelice di Roccella,2BR_2BT,0.38308446103593097,0.06532501788587308,0.06920289855072463,0.9439636092408886,140760,13434.190000000002,11696.430535464304,11852.4,4070.559570000001,389.88101784881013,2111.4,83.65,1656,11.62,85,20,0.051521955314009674
Solarino,3BR_2BT,0.2934904339710686,0.15188146051539358,0.09206896551724138,1.6496488220773087,70296,18193.685714285715,12135.619808679423,7526.52,5512.686771428572,404.5206602893141,1054.44,113.28571428571429,696,6.21,101,7,0.16539431749825229
Vita,4BR_2BT,0.26819878674755016,0.555916874353508,0.1990235294117647,2.7932218667640942,49725,48180,29367.767148856743,10642.32,14598.539999999999,978.925571628558,745.875,300,425,7.58,117,1,0.6603435897435898
Castelvetrano,2BR_3BT,0.29647690153989736,0.22346565370819255,0.06,3.724427561803209,68432,25053.6,16881.394773681757,5132.4,7591.2408,562.7131591227252,1026.48,156,728,4.55,94,5,0.24017826747720364
Nicolosi,5BR_2BT,0.3415538964069062,0.06730491159388588,0.06813790255986789,0.9877749250463042,161063,17666,13713.388940737284,13390.440000000002,5352.798,457.1129646912428,2415.9449999999997,110,1211,8.39,133,1,0.061449600466898055
Taormina,7BR_6BT,0.49937004199720014,0.30851028906996886,0.04301516195727085,7.1721289664427585,583302,172002.6,195211.23996733548,33840.36,52116.7878,6507.041332244516,8749.529999999999,1071,2902,14.03,201,1,0.1905295750743183
Pace del Mela,3BR_2BT,0.2870508632757816,0.30540019195818935,0.06844497607655502,4.461981133817657,63327,32173.533333333336,20989.637540830612,5284.32,9748.580600000001,699.6545846943537,949.905,200.33333333333334,627,4.36,101,3,0.339113612413873
Castroreale,2BR_1BT,0.2709986000933271,0.12325526228975649,0.2002087912087912,0.6156336170134388,34580,8030,4945.7244517032195,7441.92,2433.09,164.85748172344066,518.6999999999999,50,455,8.16,76,1,0.14685396182764604
Enna,7BR_3BT,0.3149556696220252,0.17604627416087626,0.044092872570194376,3.992624292749729,161124,44486.2,31843.592977134856,9521.279999999999,13479.318599999999,1061.4530992378286,2416.86,277,926,4.56,174,1,0.17744110995258308
Aragona,2BR_1.5BT,0.2873308446103593,0.2248814544178766,0.06747619047619047,3.332752676623436,50715,19272,12585.090993933736,4182.78,5839.416,419.50303313112454,760.725,120,630,4.33,80.5,1,0.24986412304052052
Catania,3BR_4BT,0.34631357909472704,0.04520943222245352,0.06981774960380349,0.6475349388802217,150178,11884.4,9353.929771348578,12737.76,3600.9732,311.7976590449526,2252.67,74,1262,8.92,119,1,0.04015739189495132
Riposto,5BR_4.5BT,0.31794213719085396,0.09795697501376761,0.07406054279749479,1.3226607760844167,148969,24090,17407.332011199254,13267.26,7299.2699999999995,580.2444003733085,2234.535,150,958,7.11,155.5,1,0.09771291342494076
Ispica,3BR_3.5BT,0.32867475501633225,0.17472597979285745,0.11595992544268406,1.5067789939138923,122858.5,32280.6,24113.223401773215,16089.54,9781.021799999999,803.7741133924405,1842.8774999999998,201,1073,11.71,114.5,1,0.16813407863517787
Piedimonte Etneo,4BR_3BT,0.3042230517965469,0.39992291712832395,0.06993218249075217,5.718724954440107,102186,63437,43861.35849276715,8678.880000000001,19221.411,1462.0452830922382,1532.79,395,811,5.74,126,4,0.41769713072240816
Gela,4BR_4BT,0.29703686420905273,0.5138349324945038,0.05807901907356947,8.847169609452637,99090,80300,54209.22771815212,7241.4,24330.899999999998,1806.9742572717373,1486.35,500,734,4.47,135,1,0.5498309617519428
Buseto Palizzolo,8BR_8BT,0.27557162855809614,0.5842783272683318,0.20833333333333337,2.8045359708879922,118440,117238,73426.06042930472,26451.600000000002,35523.114,2447.5353476434907,1776.6,730,504,9.38,235,1,0.6749264268828098
San Vito Lo Capo,7BR_5BT,0.4966635557629491,0.19149445928194195,0.08741559345631744,2.1906212806029153,551616,104390,117833.42860475968,56494.08,31630.17,3927.7809534919893,8274.24,650,2873,24.52,192,1,0.11690304487179488
